id,Nombre,Categoria,Descripcion
1,Heartbeats (Kohtaamisia),Comedy|Drama,loprem??¡?iCDDsumafr5359edlolxf54652waaad21dudupsvpqbbdf
2,"Hairdresser's Husband, The (Le mari de la coiffeuse)",Comedy|Drama|Romance,loprem??¡?iCDDsumafr9607edlolxf54652waaad21dudwvsdcqbbdf
3,Supermarket Woman (Sûpâ no onna),Comedy,loprem??¡?iCDDsumafr6161edlolxf54652waaad21dudhbxmzqbbdf
4,Eddie Izzard: Glorious,Comedy,loprem??¡?iCDDsumafr3076edlolxf54652waaad21dudrgqsjqbbdf
5,Maya Lin: A Strong Clear Vision,Documentary,loprem??¡?iCDDsumafr8220edlolxf54652waaad21dudwcxueqbbdf
6,Biutiful,Drama,loprem??¡?iCDDsumafr3480edlolxf54652waaad21dudskhpeqbbdf
7,"Code, The",Documentary,loprem??¡?iCDDsumafr3016edlolxf54652waaad21dudnomnwqbbdf
8,Sweet Nothing,Drama,loprem??¡?iCDDsumafr7523edlolxf54652waaad21duditkfjqbbdf
9,Never Cry Wolf,Adventure|Drama,loprem??¡?iCDDsumafr0067edlolxf54652waaad21dudnwgvdqbbdf
10,Hav Plenty,Comedy,loprem??¡?iCDDsumafr0370edlolxf54652waaad21dudwezboqbbdf
11,Rollerball,Action|Sci-Fi,loprem??¡?iCDDsumafr3080edlolxf54652waaad21duddupbcqbbdf
12,"His Secret Life (a.k.a. Ignorant Fairies, The) (Fate ignoranti, Le)",Drama|Romance,loprem??¡?iCDDsumafr5215edlolxf54652waaad21dudbbymdqbbdf
13,Dandelion,Drama,loprem??¡?iCDDsumafr3963edlolxf54652waaad21dudlihgbqbbdf
14,2 Days in Paris,Comedy|Drama|Romance,loprem??¡?iCDDsumafr9362edlolxf54652waaad21dudyqtssqbbdf
15,10 Years,Comedy|Drama|Romance,loprem??¡?iCDDsumafr1653edlolxf54652waaad21dudggflqqbbdf
16,"Private Affairs of Bel Ami, The",Drama,loprem??¡?iCDDsumafr2216edlolxf54652waaad21dudovadyqbbdf
17,Boy Meets Boy,Romance,loprem??¡?iCDDsumafr4555edlolxf54652waaad21dudgeacqqbbdf
18,"Carry On, Constable",Comedy,loprem??¡?iCDDsumafr4239edlolxf54652waaad21dudamkqqqbbdf
19,"Gentle Woman, A (Une femme douce)",Drama,loprem??¡?iCDDsumafr2669edlolxf54652waaad21dudmtdliqbbdf
20,Decision Before Dawn,Drama|War,loprem??¡?iCDDsumafr3596edlolxf54652waaad21dudpofjuqbbdf
